filename,width,height,class,xmin,ymin,xmax,ymax
1.jpg,390,390,1000,7,89,384,278
10.jpg,390,390,1000,1,35,390,330
100.jpg,330,330,10000,5,25,330,207
101.jpg,330,330,10000,3,27,330,191
102.jpg,358,358,10000,19,107,339,261
103.jpg,370,370,10000,18,100,347,283
104.jpg,370,370,10000,19,77,356,285
105.jpg,368,368,10000,20,100,341,267
106.jpg,370,370,10000,20,106,341,262
107.jpg,370,370,10000,18,90,350,287
108.jpg,359,359,10000,12,90,344,276
109.jpg,370,370,10000,17,77,359,296
11.jpg,338,338,1000,5,22,331,211
110.jpg,361,361,10000,18,101,343,260
111.jpg,370,370,10000,19,87,358,292
112.jpg,390,390,10000,2,98,390,292
113.jpg,390,390,10000,2,97,390,327
114.jpg,390,390,10000,2,89,390,306
12.jpg,339,339,1000,2,39,339,208
121.jpg,390,390,20000,4,81,359,288
122.jpg,390,390,20000,7,100,367,295
123.jpg,390,390,20000,15,107,356,271
124.jpg,390,390,20000,16,119,364,292
125.jpg,390,390,20000,23,133,360,287
126.jpg,390,390,20000,14,90,370,298
127.jpg,377,377,20000,18,104,363,292
128.jpg,377,377,20000,13,101,373,311
129.jpg,328,328,20000,7,3,323,171
13.jpg,327,327,1000,3,44,327,215
130.jpg,338,338,20000,5,66,338,236
131.jpg,335,335,20000,2,61,333,228
132.jpg,344,344,20000,6,51,340,234
133.jpg,340,340,20000,5,61,336,232
134.jpg,342,342,20000,5,65,338,235
135.jpg,342,342,20000,3,65,338,230
136.jpg,359,359,20000,8,32,352,236
137.jpg,347,347,20000,4,57,340,251
138.jpg,351,351,20000,6,36,351,253
139.jpg,338,338,20000,3,71,334,238
14.jpg,334,334,1000,8,54,324,216
140.jpg,338,338,20000,4,71,338,237
141.jpg,380,380,20000,27,108,354,275
142.jpg,380,380,20000,27,112,353,275
143.jpg,386,386,20000,27,110,352,290
144.jpg,384,384,20000,24,93,357,303
15.jpg,326,326,1000,6,38,320,199
151.jpg,381,381,50000,15,73,368,308
152.jpg,381,381,50000,20,101,364,293
153.jpg,381,381,50000,21,101,367,289
154.jpg,386,386,50000,23,97,365,295
155.jpg,375,375,50000,16,106,361,277
156.jpg,375,375,50000,25,98,344,264
157.jpg,390,390,50000,17,113,365,292
158.jpg,390,390,50000,26,125,351,289
159.jpg,350,350,50000,5,20,345,220
16.jpg,344,344,1000,8,37,337,231
160.jpg,339,339,50000,5,41,330,209
161.jpg,347,347,50000,7,27,341,208
162.jpg,336,336,50000,2,49,330,207
163.jpg,339,339,50000,4,33,329,209
164.jpg,340,340,50000,6,42,331,209
165.jpg,341,341,50000,6,34,338,217
166.jpg,337,337,50000,7,58,331,214
167.jpg,337,337,50000,7,58,331,212
168.jpg,339,339,50000,10,70,332,229
169.jpg,339,339,50000,3,62,332,243
17.jpg,334,334,1000,10,48,325,206
170.jpg,332,332,50000,2,55,326,217
171.jpg,390,390,50000,26,110,363,274
172.jpg,388,388,50000,18,114,347,270
173.jpg,384,384,50000,18,86,364,305
174.jpg,381,381,50000,19,111,353,279
18.jpg,333,333,1000,13,38,326,210
181.jpg,376,376,100000,13,100,361,288
182.jpg,376,376,100000,20,107,357,271
183.jpg,374,374,100000,16,105,357,284
184.jpg,374,374,100000,16,107,357,294
185.jpg,368,368,100000,16,107,355,257
186.jpg,368,368,100000,19,105,357,263
187.jpg,377,377,100000,9,88,363,308
188.jpg,377,377,100000,10,92,364,301
189.jpg,390,390,100000,15,105,359,285
19.jpg,334,334,1000,6,61,323,230
190.jpg,390,390,100000,15,108,361,288
191.jpg,355,355,100000,10,102,343,269
192.jpg,353,353,100000,5,31,347,192
193.jpg,360,360,100000,9,69,349,232
194.jpg,360,360,100000,13,45,353,221
195.jpg,351,351,100000,4,49,342,223
196.jpg,368,368,100000,12,37,351,232
197.jpg,365,365,100000,8,53,348,235
198.jpg,352,352,100000,8,65,344,214
199.jpg,359,359,100000,9,41,351,217
2.jpg,390,390,1000,9,89,385,277
20.jpg,337,337,1000,6,34,325,217
200.jpg,357,357,100000,6,40,345,223
201.jpg,385,385,100000,26,110,362,264
202.jpg,383,383,100000,23,111,360,272
203.jpg,376,376,100000,22,96,360,275
204.jpg,387,387,100000,24,117,365,288
21.jpg,390,390,1000,33,129,344,276
22.jpg,390,390,1000,40,113,346,278
23.jpg,366,366,1000,26,97,347,271
24.jpg,368,368,1000,23,96,343,286
3.jpg,390,390,1000,12,85,385,292
31.jpg,390,390,2000,3,87,387,310
32.jpg,390,390,2000,7,80,388,298
33.jpg,390,390,2000,3,90,385,314
34.jpg,390,390,2000,3,85,385,318
35.jpg,390,390,2000,6,95,386,306
36.jpg,390,390,2000,9,97,386,311
37.jpg,390,390,2000,9,101,388,292
38.jpg,390,390,2000,10,102,384,291
39.jpg,390,390,2000,4,94,380,300
4.jpg,390,390,1000,11,85,380,289
40.jpg,390,390,2000,4,91,380,301
41.jpg,320,320,2000,3,61,311,218
42.jpg,325,325,2000,5,55,319,216
43.jpg,322,322,2000,5,33,317,203
44.jpg,331,331,2000,3,50,326,227
45.jpg,323,323,2000,5,50,316,216
46.jpg,325,325,2000,11,52,313,212
47.jpg,331,331,2000,4,50,327,251
48.jpg,330,330,2000,7,54,322,237
49.jpg,322,322,2000,5,62,313,214
5.jpg,390,390,1000,2,77,389,315
50.jpg,320,320,2000,6,38,315,197
51.jpg,390,390,2000,46,103,350,249
52.jpg,363,363,2000,24,89,339,256
53.jpg,358,358,2000,19,83,337,277
54.jpg,368,368,2000,25,114,339,256
6.jpg,390,390,1000,4,75,386,321
61.jpg,390,390,5000,4,114,382,293
62.jpg,390,390,5000,5,114,386,298
63.jpg,390,390,5000,2,82,388,291
64.jpg,390,390,5000,1,82,388,288
65.jpg,390,390,5000,13,101,388,274
66.jpg,390,390,5000,7,101,390,276
67.jpg,390,390,5000,1,73,390,311
68.jpg,390,390,5000,2,73,390,311
69.jpg,390,390,5000,4,79,389,306
7.jpg,390,390,1000,6,95,380,299
70.jpg,390,390,5000,3,83,390,309
71.jpg,320,320,5000,5,48,313,208
72.jpg,342,342,5000,6,32,336,179
73.jpg,343,343,5000,7,45,336,212
74.jpg,344,344,5000,7,48,336,222
75.jpg,342,342,5000,5,58,332,229
76.jpg,339,339,5000,10,60,332,216
77.jpg,350,350,5000,5,38,343,238
78.jpg,336,336,5000,4,46,328,181
79.jpg,350,350,5000,7,47,340,231
8.jpg,390,390,1000,7,91,379,298
80.jpg,337,337,5000,6,53,329,202
81.jpg,376,376,5000,28,100,348,275
82.jpg,390,390,5000,30,107,354,290
83.jpg,376,376,5000,32,119,347,272
84.jpg,380,380,5000,34,94,351,277
9.jpg,390,390,1000,2,35,389,326
91.jpg,325,325,10000,9,63,317,216
92.jpg,325,325,10000,7,60,319,218
93.jpg,319,319,10000,5,65,312,218
94.jpg,325,325,10000,6,66,322,234
95.jpg,319,319,10000,7,38,313,194
96.jpg,330,330,10000,6,26,325,199
97.jpg,318,318,10000,4,26,314,183
98.jpg,325,325,10000,6,60,318,218
99.jpg,325,325,10000,7,59,318,230
